file,,name,include,copyright,copyrightLink,category,disputed,territory,all,,style,canton,star,emblemFlag,red white blue,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,coldWar
25819568.svg,,Malta,,,none,europe,europeDisputed,europeTerritories,europeAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
64207531.svg,,Marshall Islands,,,none,oceania,,oceaniaTerritories,oceaniaAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
97598555.svg,,Mauritania,,,none,africa,africaDisputed,africaTerritories,africaAll,,,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
58512165.svg,,Mauritius,,,none,africa,africaDisputed,africaTerritories,africaAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
96848254.svg,,Mexico,,,none,na,,naTerritories,naAll,,triband,,,emblemFlag,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
32851630.svg,,Micronesia,,,none,oceania,,oceaniaTerritories,oceaniaAll,,,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
09591854.svg,,Moldova,,,none,europe,europeDisputed,europeTerritories,europeAll,,triband,,star,emblemFlag,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
72119615.svg,,Monaco,,,none,europe,europeDisputed,europeTerritories,europeAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
07866942.svg,,Mongolia,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,triband,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
83452525.svg,,Montenegro,,,none,europe,europeDisputed,europeTerritories,europeAll,,,,,emblemFlag,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
88385905.svg,,Morocco,,,none,africa,africaDisputed,africaTerritories,africaAll,,,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
17599401.svg,,Mozambique,,,none,africa,africaDisputed,africaTerritories,africaAll,,,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
92185079.svg,,Myanmar,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,triband,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
73979023.svg,,Namibia,,,none,africa,africaDisputed,africaTerritories,africaAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
97467994.svg,,Nauru,,,none,oceania,,oceaniaTerritories,oceaniaAll,,,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
